sample_id,date,latitude,longitude,density_cells_per_ml,severity
919443b35974bb0104ba8bb861012fae,2023-09-01,-22.52527160253196,-44.6824797127753,707194.0,high
3b93549dcddef9ed13e5b4e72d85fc7c,2023-09-01,-22.53193829712928,-44.6788709769984,605017.0,high
164e29092b5f01932e0604ea74e13206,2023-09-01,-22.53507153271373,-44.6769222595319,651111.0,high
df73ddacef525a7c60f95983231e1271,2023-09-01,-22.53373824978605,-44.673457873186,452576.0,high
451fb74d32ceafd5ce48dc9737c3e4b1,2023-09-01,-22.54040453568439,-44.6713648064354,514495.0,high
92662bf2381deb623bf7fcb167ca1fce,2023-09-01,-22.535671505831274,-44.6672508476497,,
ba15c0c7cea2f91d3107ef64e3132be0,2023-09-01,-22.541671093617136,-44.6639308107349,,
c04e85e91933f13301cd6e261939bd4a,2023-09-01,-22.536204813080563,-44.6660960522011,,
5154a44653ef566449251a7daf8e5144,2023-09-01,-22.53893798040274,-44.6605385991046,,
a99016083aa00a60672a05c0eb2224a5,2023-09-01,-22.532271623697536,-44.657651610483,,
823fc9832ac54bd6c54b7c580874da19,2023-09-01,-22.536938107185023,-44.6551976701547,,
fd61fabc05c22614007371ba8ff8a065,2023-09-01,-22.532705002033257,-44.6518087730433,,
a03bc9cf3f6ac50951fc8c6ce383d17e,2023-09-01,-22.52306263241008,-44.6401560128061,375213.0,high
76804925f1c1ab257863b9783c573d41,2023-09-01,-22.51824119522169,-44.6412484590783,893664.0,high
bb28493ea401eb574c5ccae79e87ed95,2023-09-01,-22.52171713197823,-44.6377283544233,1170099.0,high
9c4f4b3bae49cc49dd9911cfb391e97e,2023-09-01,-22.513531722088302,-44.6399132469678,386570.0,high
1d01fe2822d0da18685fe0cae640846f,2023-09-01,-22.51678351830424,-44.635664844798,560341.0,high
c4481a0faac1b6b7d869659f8bb82c34,2023-09-01,-22.512634661393808,-44.6346937814449,466691.0,high
8c9a5c8d7f80cb6907d8843393f2a57e,2023-09-01,-22.51050411891409,-44.6292315500837,412751.0,high
b2a94b1ac2f8977bff26ce71077baa83,2023-09-01,-22.513307457460424,-44.6257114454287,440655.0,high
1d63e2460c31ef8793f4e376f65da0f0,2023-09-01,-22.5124103953106,-44.6198850653101,419796.0,high
393889be60475c9ca2e4a3a5a6864250,2023-09-01,-22.51835332357854,-44.6283818696498,828692.0,high
7449072014145dbea9dbdfcb08359a0f,2023-09-01,-22.517232035916344,-44.6221913407737,392429.0,high
05258e933d852bfa72b4bbc8ebfaf660,2023-09-01,-22.52295050787452,-44.626803891701,494774.0,high
38c2fd17feaabefec51280f804d440ef,2023-09-01,-22.527771780734053,-44.6264397429435,649579.0,high
ae7dd217a142e2d756a1714b5ea6341a,2023-09-01,-22.53438674174624,-44.6275321892158,278475.0,high
7e332dfea1f79183fbe738d3091fd8be,2023-09-01,-22.54828293959759,-44.6206354627649,739126.0,high
b92d5ad9395421c49f5c9d4008aa6963,2023-09-01,-22.561794691645904,-44.6105884700245,212050.0,high
9a39b32f5557604949ffd83c2fe6ed21,2023-09-01,-22.559496081924983,-44.6074127346705,317308.0,high
af9c3630333cc0bc6d4c2d34dfc1f981,2023-09-01,-22.56393474211768,-44.6040653379461,328363.0,high
e14ae17b6d48b8cdfc27a616497f2e22,2023-09-01,-22.56393474211768,-44.5982288513496,359737.0,high
a69b4d9792a86788ab235289758efdc4,2023-09-01,-22.56813548534296,-44.6008896025921,439375.0,high
0de45edb354f3efc8dc5a72e27b695bf,2023-09-01,-22.56274582947703,-44.5927356867114,193309.0,high
87c87abd9e9072f2936500fde42b7870,2023-09-01,-22.565995500257856,-44.5917057184885,81690.0,moderate
052c2c7a4c0cd6f806416ad3d77801b7,2023-09-01,-22.56020944773314,-44.5882724908071,116777.0,high
7e8088c925a6f2085bc2022f349743ed,2023-09-01,-22.56567846246045,-44.5822643428401,104606.0,high
fdd0c13a6f0e7bad491f7322658db40b,2023-09-01,-22.574501074208865,-44.6014902248534,324437.0,high
cf523054992c078923a106384bc8eac7,2023-09-01,-22.552506544377195,-44.5846013411127,116319.0,high
d8e5e7b0c0c24e2ac7b5212bbb22c49e,2023-09-01,-22.54037472752126,-44.5783943155764,106654.0,high
9471d710097709b956608fda106c896a,2023-09-01,-22.53597501399041,-44.570310747436,101801.0,high
e0ab454bf1eed3d7d2f97cbb5f68f22c,2023-09-01,-22.538641523468275,-44.5675681077832,126742.0,high
48ffa7a49b17b35329ce73ad630cd625,2023-09-01,-22.533678626038647,-44.5682080439131,80390.0,moderate
a830aa361032ed6dabc20fea62eaf3e4,2023-09-01,-22.535092786334225,-44.5671363040666,132670.0,high
ecf937b1e6f2040596ee4fee53291f84,2023-09-01,-22.53551703159882,-44.5641252254501,161408.0,high
08993114c0a537f8ec3d4dada4ae93d0,2023-09-01,-22.53697831086638,-44.5624920980649,166745.0,high
344a4fa6cc7aa9d42a8ebde7839ba52d,2023-09-01,-22.53221731185253,-44.5663707756048,82334.0,moderate
50b9d2ef58bfbdf3c62c75f101f2a93d,2023-09-01,-22.531887335541462,-44.5637679788346,173637.0,high
38acc8968abca64081af6c40b0eb9020,2023-09-01,-22.53202875405704,-44.5612162172952,163068.0,high
9787c2592133448f0ef826f99ecf05fa,2023-09-01,-22.52938891788948,-44.5604506888334,178876.0,high
0e9727167463e5b470e03f485f7a6e16,2023-09-01,-22.526937596271328,-44.5580009977556,160160.0,high
dddf720840b273eace0a9b7e3744ba5e,2023-09-01,-22.529860320905605,-44.5580520329863,164387.0,high
9db5c76ce6502325ef5703d1e3bbbca0,2023-09-01,-22.527786135600465,-44.5637766705823,172546.0,high
4108f66b86cf47a5ae5a4f8c6508cd91,2023-09-01,-22.529451032373533,-44.5638410435962,150382.0,high
cfff94865589c801be01740ec10cb6af,2023-09-01,-22.530382573003013,-44.5654718266158,82749.0,moderate
b11cf1e6423390ca93b61010c39c08d1,2023-09-01,-22.52667619327016,-44.565557657301,55001.0,moderate
8ae88f4bf4faec6ff2f9985c5f4b8e7b,2023-09-01,-22.528559125883582,-44.5666519985379,80065.0,moderate
1219e273bf87ddbcde6fea15aa548a5a,2023-09-01,-22.529589772865474,-44.567488847719,83490.0,moderate
a89964c331b0af7773fe448b179c40af,2023-09-01,-22.528816788350014,-44.5674459323764,82635.0,moderate
